raw_id,canonical_id,confidence,comment
npc:carian_speaker_10001*,npc:melina,0.95,Offers the maiden accord and rune-channeling pact
npc:carian_speaker_10002*,npc:melina,0.95,Level-up handshake invocation 'Let my hand rest upon you'
npc:carian_speaker_10003*,npc:melina,0.9,Explains grace guidance to the Tarnished
npc:carian_speaker_100041*,npc:marika,0.95,Direct quote 'My Lord and thy warriors' from Marika's decree
npc:carian_speaker_100044*,npc:marika,0.95,Marika commands warriors to brandish the Elden Ring
npc:carian_speaker_100045*,npc:marika,0.95,Marika's instruction about joining or divesting from the Order
npc:carian_speaker_10010*,npc:marika,0.95,Opening proclamation 'Hear me Demigods' addressed by Marika
npc:carian_speaker_10011*,npc:melina,0.9,Companion chatter about Boc and Roundtable errands
npc:carian_speaker_10012*,npc:melina,0.9,Mentions 'other you' after housing an outer presence
npc:carian_speaker_10013*,npc:melina,0.9,Reflects on being born at the foot of the Erdtree
npc:carian_speaker_10014*,npc:melina,1.0,Explicit 'It''s me Melina' at Erdtree barrier
npc:carian_speaker_10015*,npc:melina,0.95,Mountaintops guidance prior to Flame of Ruin
npc:carian_speaker_10016*,npc:melina,0.9,Declares acting of her own volition
npc:carian_speaker_10017*,npc:melina,0.95,Encourages player near Flame of Ruin
npc:carian_speaker_10018*,npc:melina,0.95,Warns against claiming the Frenzied Flame
npc:carian_speaker_10019*,npc:melina,0.95,Breaks accord after inheriting the Frenzied Flame
npc:carian_speaker_100*,npc:intro_storyteller,0.9,Omniscient opening narration 'The fallen leaves tell a story' recited in the intro cinematic
npc:carian_speaker_101*,npc:finger_reader_crone,1.0,"Bridge and lift-side Finger Reader crones lament Godwyn, Destined Death, and grant Grand Lift directions"
npc:carian_speaker_102*,npc:finger_reader_enia,0.95,"Roundtable Hold interpreter Enia names herself and relays the Two Fingers' decrees"
npc:carian_speaker_110*,npc:intro_storyteller,0.9,Continues the prologue hymn about grace and the Erdtree
npc:carian_speaker_112*,npc:two_fingers,0.85,Guttural gestures from the mute Two Fingers before Enia translates their will
npc:carian_speaker_120*,npc:intro_storyteller,0.9,Praises Hoarah Loux and Goldmask within the narration cadence
npc:carian_speaker_130*,npc:intro_storyteller,0.9,Describes the shattering and Godrick/Malenia during the intro monologue
npc:carian_speaker_140*,npc:intro_storyteller,0.9,Laments the war and abandonment by the Greater Will in the cinematic
npc:carian_speaker_150*,npc:intro_storyteller,0.9,Roll-call of Tarnished champions from the narration
npc:carian_speaker_160*,npc:intro_storyteller,0.9,Narrates the Night of Black Knives segment
npc:carian_speaker_165*,npc:intro_storyteller,0.9,Concludes the Night of Black Knives recounting
npc:carian_speaker_1060*,npc:ranni,1.0,"Renna's first visit grants Torrent's bell and recounts Empyrean defiance of the Two Fingers"
npc:carian_speaker_1061*,npc:ranni,1.0,Prefix-range mapping for Ranni/Renna
npc:carian_speaker_1062*,npc:ranni,1.0,Prefix-range mapping for Ranni/Renna
npc:carian_speaker_1063*,npc:ranni,1.0,Prefix-range mapping for Ranni/Renna
npc:carian_speaker_20000*,npc:rennala_queen_of_the_full_moon,0.95,"Rennala's maternal pleas 'Come out my sweetings' within Raya Lucaria arena"
npc:carian_speaker_20002*,npc:rennala_queen_of_the_full_moon,0.95,"Post-defeat gratitude 'My thanks to thee' aligned with Rennala's rebirth cutscene"
npc:carian_speaker_20003*,npc:rennala_queen_of_the_full_moon,0.95,"Calls to her hidden children and egg—exclusive to Rennala encounter"
npc:carian_speaker_20010*,npc:melina,0.95,"Torrent bedside scene 'Don't worry Torrent, fortune is on her side' identifying Melina"
npc:carian_speaker_20030*,npc:margit_the_fell_omen,0.95,"Battle intro 'Foul Tarnished...Let it be Margit the Fell'"
npc:carian_speaker_20040*,npc:godrick_the_grafted,0.95,"Phase-one monologue 'Mighty dragon, thou'rt a trueborn heir' unique to Godrick"
npc:carian_speaker_20050*,npc:godrick_the_grafted,0.95,"Phase-two plea 'Forefathers, one and all...Great King Godfrey' during grafted dragon transformation"
npc:carian_speaker_20070*,npc:godfrey_first_elden_lord,0.95,"Rematch preamble 'Upon my name as Godfrey, the first Elden Lord'"
npc:carian_speaker_20080*,npc:godfrey_first_elden_lord,0.95,"Hoarah Loux phase declaration 'Now I fight as Hoarah Loux!'"
npc:carian_speaker_20100*,npc:rennala_sweetings,0.95,"Giggling 'Mother's newborn' chorus of Rennala's rebirth-bound children inside Raya Lucaria"
npc:carian_speaker_20300*,npc:rykard_lord_of_blasphemy,0.95,"Praetor Rykard beckons 'Join the Serpent King and devour the gods'"
npc:carian_speaker_203900010,npc:malenia_blade_of_miquella,1.0,"Malenia's intro declaration 'I am Malenia. Blade of Miquella.'"
npc:carian_speaker_2039010*,npc:malenia_blade_of_miquella,0.95,"Scarlet rot warning 'Let your flesh be consumed' during the boss fight"
